tr2	8.7	9.9	11.5	14.3	20.1	80.1	27.3	16.5	12.7	10.6	9.2	8.3
tr5	12.3	13.8	16.1	19.8	27.6	104.9	37.2	22.8	17.7	14.8	13.0	11.7
tr10	14.9	16.7	19.4	23.8	33.0	120.1	44.1	27.3	21.3	17.9	15.7	14.2
tr20	17.4	19.5	22.6	27.5	37.9	133.7	50.5	31.6	24.7	20.9	18.4	16.6
tr50	20.9	23.3	26.9	32.6	44.5	150.4	58.8	37.2	29.3	24.9	22.0	19.9
tr100	24.1	26.8	30.7	37.0	50.1	161.4	65.6	42.1	33.4	28.6	25.3	23.0
tr2-2	9.6	9.6	13.5	13.5	53.7	53.7	18.3	18.3	11.1	11.1	8.5	8.5
tr5-2	13.4	13.4	18.7	18.7	71.1	71.1	25.2	25.2	15.4	15.4	12.0	12.0
tr10-2	16.2	16.2	22.5	22.5	82.1	82.1	30.1	30.1	18.7	18.7	14.5	14.5
tr20-2	19.0	19.0	26.1	26.1	92.1	92.1	34.7	34.7	21.7	21.7	17.0	17.0
tr50-2	22.7	22.7	31.0	31.0	104.6	104.6	40.9	40.9	25.9	25.9	20.4	20.4
tr100-2	26.1	26.1	35.2	35.2	113.5	113.5	46.1	46.1	29.6	29.6	23.5	23.5
tr2-3	8.8	8.8	8.8	14.5	14.5	14.5	42.5	42.5	42.5	10.7	10.7	10.7
tr5-3	12.3	12.3	12.3	20.1	20.1	20.1	56.6	56.6	56.6	14.9	14.9	14.9
tr10-3	14.9	14.9	14.9	24.1	24.1	24.1	65.7	65.7	65.7	18.0	18.0	18.0
tr20-3	17.5	17.5	17.5	27.9	27.9	27.9	74.0	74.0	74.0	21.0	21.0	21.0
tr50-3	20.9	20.9	20.9	33.1	33.1	33.1	84.6	84.6	84.6	25.0	25.0	25.0
tr100-3	24.1	24.1	24.1	37.5	37.5	37.5	92.4	92.4	92.4	28.7	28.7	28.7
